Type,n,Number,rho,delta,Time,LB,UB,GAP,Max|O|,TreeSize
Uniform,14,7,1.0,1.0,894.5189440250397,34.598350044717876,34.67023791534573,0.2073474973070073,22,65
Uniform,14,8,1.0,1.0,1865.0369908809662,29.047926634436685,29.114006907798196,0.22697072776956392,64,174
Uniform,14,9,1.0,1.0,3107.5931491851807,32.48948886240072,32.51918714903652,0.0913254273536761,10,38
Uniform,14,10,1.0,1.0,1529.7665820121765,30.82482971499312,30.854027735836294,0.09463276915792218,22,41
Uniform,16,1,0.25,0.25,994.7037389278412,47.132503181137324,47.15738850229891,0.05277077877281238,30,160
Uniform,16,2,0.25,0.25,1009.4744579792023,35.826234425605534,35.85417592137764,0.07793093845853721,37,204
Uniform,16,3,0.25,0.25,2914.5611522197723,41.12119188909473,41.13325107412893,0.029317364223080802,33,236
Uniform,16,4,0.25,0.25,1172.4268679618835,39.70719044121559,39.729054741502836,0.05503352755183427,55,332
Uniform,16,5,0.25,0.25,3375.2310948371887,38.947287704439724,38.960759088638675,0.03457680115601051,23,174
Uniform,16,6,0.25,0.25,3383.4287328720093,43.77318899114412,43.781052802024256,0.017961676060414322,44,469
Uniform,16,7,0.25,0.25,879.4267740249634,40.270966051312115,40.29459647811824,0.05864415795540773,26,194
Uniform,16,8,0.25,0.25,2705.152009010315,38.98701658470416,38.997148623429496,0.02598148603934275,8,128
Uniform,16,9,0.25,0.25,2215.6376378536224,35.799175148284306,35.81805198848019,0.05270202913870897,13,95
Uniform,16,10,0.25,0.25,3041.3650550842285,37.719703150061406,37.72794656447592,0.021849623860200354,29,253
Uniform,16,1,0.5,0.5,2989.387120962143,44.22519464786461,44.247576778793146,0.050583856920411924,29,91
Uniform,16,2,0.5,0.5,878.497239112854,32.982372278175305,33.01028747656124,0.08456514777629434,41,128
Uniform,16,3,0.5,0.5,1026.968197107315,38.78241185636132,38.8224467456345,0.10312304511740163,43,194
Uniform,16,4,0.5,0.5,2424.145061969757,36.61990784547803,36.652441268273755,0.08876195328326911,49,261
Uniform,16,5,0.5,0.5,2794.818120956421,36.19987624826131,36.2119453723216,0.033329123680592015,27,120
Uniform,16,6,0.5,0.5,3489.585693836212,40.954816953620245,40.9816774243324,0.06554263368490171,73,398
Uniform,16,7,0.5,0.5,961.0697951316833,37.24621392657679,37.29269706045196,0.12464406583362395,40,170
Uniform,16,8,0.5,0.5,3334.3160729408264,36.53611268058422,36.559253944803444,0.06329796623904059,15,109
Uniform,16,9,0.5,0.5,779.7426900863647,33.972435294204374,34.00646341742129,0.10006369318451651,18,60
Uniform,16,10,0.5,0.5,2714.617847919464,35.00037282096771,35.01591789897678,0.04439431818956588,29,159
Uniform,16,1,1.0,1.0,1939.4675498008728,39.8612806726894,39.8975971962012,0.09102433746375635,15,43
Uniform,16,2,1.0,1.0,854.3652579784393,28.142879177209263,28.210287633668568,0.2389499083974368,29,55
Uniform,16,3,1.0,1.0,1040.6437311172485,34.49446768032534,34.54544211580556,0.14755762948215806,90,199
Uniform,16,4,1.0,1.0,2216.457055091858,33.359244535399306,33.38531849339327,0.07810007263859153,7,19
Uniform,16,5,1.0,1.0,1868.8586738109589,32.37873101840826,32.408289230672914,0.09120571608784013,14,31
Uniform,16,6,1.0,1.0,1319.3919670581818,35.32756573472348,35.394536389731,0.1892118440826745,43,133
Uniform,16,7,1.0,1.0,1608.9413900375366,31.858234019203337,31.903035834815945,0.14043119859996447,85,145
Uniform,16,8,1.0,1.0,2457.1766500473022,33.07551974470076,33.10540131999109,0.09026193339719721,13,45
Uniform,16,9,1.0,1.0,1493.809551000595,30.984410167156057,31.03256330918364,0.15516972139176577,33,65
Uniform,16,10,1.0,1.0,1933.2266581058502,31.234288604661266,31.256356548745902,0.07060305973352966,12,32
Uniform,18,1,0.25,0.25,1168.3484981060028,47.6159757696023,47.642879366881225,0.05646929328462447,31,173
Uniform,18,2,0.25,0.25,1004.5830450057983,41.51783539699799,41.537976209224404,0.04848770706826782,51,312
Uniform,18,3,0.25,0.25,1222.4421799182892,42.400472863911205,42.413604852043896,0.03096173545847247,213,1199
Uniform,18,4,0.25,0.25,968.8440568447113,44.56647626816591,44.59511200393851,0.0642127230672147,13,148
Uniform,18,5,0.25,0.25,2467.6194179058075,40.86441854475635,40.87363177364717,0.02254076403546283,20,161
Uniform,18,6,0.25,0.25,1078.330941915512,40.654759966470266,40.677299793706226,0.05541131626305068,163,1130
Uniform,18,7,0.25,0.25,2060.8558588027954,38.9947643437417,39.006342613817,0.029683044601049112,6,91
Uniform,18,8,0.25,0.25,2454.3285081386566,36.205345532449925,36.225876932853296,0.056676061814672114,17,113
Uniform,18,9,0.25,0.25,1340.6161980628967,37.73456457162446,37.75240790540189,0.047264094576798685,33,283
Uniform,18,10,0.25,0.25,1553.9203851222992,44.5816821944114,44.597937563615154,0.03644870164807041,51,353
Uniform,18,1,0.5,0.5,1285.23859500885,44.69875779130082,44.744580115855406,0.1024086591849544,69,229
Uniform,18,2,0.5,0.5,3023.9415559768677,38.67684804110419,38.72778388447594,0.13152274223510188,89,371
Uniform,18,3,0.5,0.5,2134.048558950424,39.50310468097338,39.53555426533599,0.08207696835316852,432,1508
Uniform,18,4,0.5,0.5,2716.9857890605927,41.85150191446328,41.87628662320564,0.05918554566541963,19,119
Uniform,18,5,0.5,0.5,2795.3483760356903,38.054028379081245,38.073585412624006,0.05136640883912103,27,134
Uniform,18,6,0.5,0.5,1754.3241958618164,37.5178487664329,37.55039031639832,0.08666101654664222,260,932
Uniform,18,7,0.5,0.5,2962.6078839302063,36.57298154645552,36.58965603566044,0.04557159320838005,14,85
Uniform,18,8,0.5,0.5,872.0736730098724,34.31075947327723,34.345022101339275,0.09976009903545524,17,67
Uniform,18,9,0.5,0.5,1339.6048290729523,35.004176845821874,35.0402277488813,0.10288432860022376,31,169
Uniform,18,10,0.5,0.5,1130.1608719825745,41.36320591794484,41.4033377276534,0.09692892387697037,27,159
Uniform,18,1,1.0,1.0,753.8194029331207,40.2781323550779,40.3469462199086,0.17055532395348066,27,58
Uniform,18,2,1.0,1.0,2658.437504053116,33.85680171738906,33.91185571643503,0.16234440104463382,40,115
Uniform,18,3,1.0,1.0,3423.664936065674,34.04269335479911,34.15465313861012,0.3278024325313515,491,967
Uniform,18,4,1.0,1.0,3071.5735251903534,38.08061303038317,38.11306265240992,0.08514042107477177,19,64
Uniform,18,5,1.0,1.0,3561.342938184738,33.760092045768786,33.79024103039278,0.08922394071375253,33,99
Uniform,18,6,1.0,1.0,2781.793011903763,31.037971730596496,31.095631533532345,0.18542734169483088,204,357
Uniform,18,7,1.0,1.0,2464.4642341136932,33.07551974470076,33.10540131999109,0.09026193339719721,18,53
Uniform,18,8,1.0,1.0,3433.335291147232,31.180980995202923,31.21207960199208,0.09963644584314343,34,62
Uniform,18,9,1.0,1.0,2769.8572738170624,31.257116731171855,31.288718065566027,0.10099913434596494,18,47
Uniform,18,10,1.0,1.0,1892.7434811592102,36.938586657914925,36.99835642232561,0.16154707989843364,21,67
Uniform,20,1,0.25,0.25,1062.6892471313477,48.75045374757379,48.77921685598404,0.05896590856545746,38,237
Uniform,20,2,0.25,0.25,1095.6457769870758,39.77298275305339,39.79079919359217,0.04477527694806774,48,299
Uniform,20,3,0.25,0.25,3147.8266348838806,52.442307730211034,52.460723349084546,0.03510363124612344,752,4760
Uniform,20,4,0.25,0.25,1240.1978809833527,41.524335749725196,41.551141859221566,0.06451353271395284,52,460
Uniform,20,5,0.25,0.25,1018.3808319568634,45.8738950647455,45.89697234819629,0.0502806225990697,70,563
Uniform,20,6,0.25,0.25,1370.9149420261383,45.42746108308119,45.44597136371748,0.040730300356325945,72,598
Uniform,20,7,0.25,0.25,1721.5828268527985,41.641809094826385,41.66195214592721,0.04834879323530014,49,375
Uniform,20,8,0.25,0.25,1208.1092338562012,41.24012653660051,41.27242649648116,0.07826038501370888,75,591
Uniform,20,9,0.25,0.25,1801.9163091182709,45.29305378805118,45.31151736320554,0.040748083994533675,78,527
Uniform,20,10,0.25,0.25,1732.5036361217499,47.528235835712835,47.549723257823054,0.045189373645164316,150,1126
Uniform,20,1,0.5,0.5,2337.5378320217133,45.54171375505331,45.57788264346161,0.07935622786875257,54,168
Uniform,20,2,0.5,0.5,933.9886028766632,36.128031015151436,36.159299913426445,0.08647539733864792,41,190
Uniform,20,3,0.5,0.5,3132.1885471343994,48.207726434539516,48.27521751983467,0.13980482898378005,756,2591
Uniform,20,4,0.5,0.5,3077.9147579669952,38.180766527210636,38.20890235893654,0.07363684897722336,39,183
Uniform,20,5,0.5,0.5,1273.0845048427582,42.52737483977313,42.56150527485219,0.08019085523091872,91,330
Uniform,20,6,0.5,0.5,1283.9902801513672,42.058308677927684,42.09131357012446,0.07841259727328846,116,408
Uniform,20,7,0.5,0.5,2412.0016860961914,38.709393789143945,38.74288860988143,0.086454113101275,56,271
Uniform,20,8,0.5,0.5,1319.5652329921722,38.05943358062621,38.09738276261631,0.09961099487216958,84,366
Uniform,20,9,0.5,0.5,1213.5748980045319,41.839090694919086,41.86832054283048,0.06981375783032352,47,274
Uniform,20,10,0.5,0.5,3268.428045988083,43.35401017351382,43.39177907556677,0.08704160755236928,154,647
Uniform,20,1,1.0,1.0,1471.7224798202515,40.70557209252651,40.75533050221781,0.1220905561999858,31,64
Uniform,20,2,1.0,1.0,1924.7466909885406,31.60360827756288,31.673260974290788,0.2199100900423361,37,124
Uniform,20,3,1.0,1.0,3512.7911291122437,41.18000538229538,41.38990116662701,0.5071183511326577,296,671
Uniform,20,4,1.0,1.0,2412.261494874954,33.07101234935766,33.112198179266805,0.12438265102838995,39,85
Uniform,20,5,1.0,1.0,1081.3826661109924,36.335605742952716,36.40254920660115,0.18389773548138225,61,124
Uniform,20,6,1.0,1.0,1952.925654888153,37.21799713491868,37.266693217687845,0.13066918088146673,106,272
Uniform,20,7,1.0,1.0,2977.9060640335083,33.9007674308523,33.943582161541265,0.12613498034829373,105,194
Uniform,20,8,1.0,1.0,3590.4676299095154,33.60027899828218,33.63983579041589,0.1175891356312116,48,109
Uniform,20,9,1.0,1.0,2916.8836698532104,37.17185387488476,37.20483809848673,0.08865573750020729,22,49
